ID ( = no data),Continent,ISO code (Code ISO 3166.1),Country,State code,Area,City,Name,2nd name,Latitude (WGS84),Longitude (WGS84),Altitude/Depth (m),Location accuracy (Yes = accurate location),Offshore - Shore distance (km),Manufacturer,Turbine,Hub height (m),Number of turbines,Total power (kW),Developer,Operator,Owner,Commissioning date (Format: yyyy or yyyymm),Status,Update
428,Europe,BE,Belgium,,Offshore,,Thorntonbank,Part 1,51.54,2.94,-15,No,Yes (27 km),Repower,5M,94,6,30450,EDF-EN/C-Power NV,C-Power NV,DEME/EDF-EN/Socofe/Nuhma/RWE/,2008/07,Production,25/06/2018
729,Europe,DK,Denmark,,Offshore,,Middelgrunden,,55.691,12.669,-5,Yes,Yes (5 km),Bonus,B76/2000,64,20,40000,Orsted,Orsted/Middelgrundens Vindmollelaug,Orsted/Middelgrundens Vindmollelaug,2000/12,Production,28/06/2018
759,Europe,FI,Finland,,Offshore,,Ajos 1,,65.6584267113501,24.5603564666564,0,Yes,Yes,Winwind,WWD-3-90,90,1,3000,Haminan Energia Oy,Haminan Energia Oy,Haminan Energia Oy,2005/12,Production,12/6/2018
760,Europe,FI,Finland,,Offshore,,Ajos 5,,65.650284,24.56292,0,Yes,Yes,Winwind,WWD-3-100,88,0,0,PVO Innopower Oy,,,2007/10,Dismantled,12/6/2018
1069,Europe,SE,Sweden,,Offshore,,Utgrunden I,,56.344,16.28,-4,Yes,Yes (5 km),GE Energy,1.5s,65,7,10500,Vattenfall/Orsted/OX2,Vattenfall,Vattenfall,2006/10,Production,15/01/2018
1070,Europe,SE,Sweden,,Offshore,,Yttre Stengrund 2-3-4,,56.1671453,16.193429,-36,Yes,Yes (3 km),Neg Micon,NM72/2000,60,0,0,Vattenfall/OX2,,,2001/08,Dismantled,15/01/2018
1125,Europe,SE,Sweden,,Offshore,,Lillgrund,,55.508569,12.7626971,-10,Yes,Yes (11 km),Siemens,SWT-2.3-93,69,15,34500,Vattenfall,Vattenfall,Vattenfall,2007/10,Production,15/01/2018
1145,Europe,DK,Denmark,,Offshore,,Nysted,,54.549,11.714,-8,No,Yes (11 km),Bonus,B82/2300,69,72,165600,Orsted,Orsted,Orsted/Stadtwerke Lübeck GmbH/PensionDanmark,2003/11,Production,23/05/2018
1160,Europe,DK,Denmark,,Offshore,,Tuno Knob,,55.97,10.36,-5,Yes,Yes (5 km),Vestas,V39/500,45,10,5000,Orsted,SE Blue Renewables,SE Blue Renewables,1995/05,Production,14/06/2018
1195,Europe,DK,Denmark,,Offshore,,Horns Rev 1,,55.486,7.84,-10,No,Yes (18 km),Vestas,V80/2000,70,80,160000,Vattenfall,Vattenfall,Vattenfall/Orsted,2002/12,Production,29/06/2018
